start,end,type
6,7,AST
6,117,AST
7,8,AST
8,9,AST
8,10,AST
8,11,AST
8,12,AST
8,115,AST
12,13,AST
12,14,AST
12,19,AST
12,20,AST
12,25,AST
12,26,AST
12,109,AST
12,113,AST
14,15,AST
14,16,AST
16,17,AST
16,18,AST
20,21,AST
20,22,AST
22,23,AST
22,24,AST
26,27,AST
26,34,AST
26,64,AST
27,28,AST
27,31,AST
28,29,AST
28,30,AST
31,32,AST
31,33,AST
34,35,AST
35,36,AST
35,37,AST
37,38,AST
37,59,AST
38,39,AST
38,52,AST
39,40,AST
39,45,AST
40,41,AST
40,44,AST
41,42,AST
41,43,AST
45,46,AST
45,51,AST
46,47,AST
46,48,AST
48,49,AST
48,50,AST
52,53,AST
52,58,AST
53,54,AST
53,55,AST
55,56,AST
55,57,AST
59,60,AST
59,61,AST
61,62,AST
61,63,AST
64,65,AST
65,66,AST
66,67,AST
66,72,AST
66,76,AST
67,68,AST
67,69,AST
69,70,AST
69,71,AST
72,73,AST
73,74,AST
74,75,AST
76,77,AST
77,78,AST
77,79,AST
77,82,AST
79,80,AST
79,81,AST
82,83,AST
82,87,AST
82,94,AST
82,96,AST
83,84,AST
84,85,AST
84,86,AST
87,88,AST
87,89,AST
89,90,AST
89,93,AST
90,91,AST
90,92,AST
94,95,AST
96,97,AST
96,98,AST
98,99,AST
98,104,AST
99,100,AST
99,101,AST
101,102,AST
101,103,AST
104,105,AST
104,108,AST
105,106,AST
105,107,AST
109,110,AST
109,112,AST
110,111,AST
113,114,AST
14,24,CFG
20,28,CFG
109,113,CFG
113,115,CFG
16,14,CFG
22,20,CFG
27,41,CFG
27,71,CFG
110,109,CFG
17,16,CFG
24,22,CFG
28,33,CFG
31,27,CFG
35,110,CFG
33,31,CFG
37,35,CFG
38,61,CFG
59,37,CFG
67,74,CFG
67,79,CFG
39,55,CFG
52,38,CFG
61,59,CFG
69,67,CFG
73,115,CFG
40,48,CFG
45,39,CFG
53,52,CFG
71,69,CFG
74,73,CFG
79,84,CFG
41,40,CFG
46,45,CFG
55,53,CFG
87,101,CFG
87,110,CFG
94,92,CFG
96,94,CFG
48,46,CFG
84,92,CFG
89,87,CFG
98,96,CFG
90,89,CFG
99,105,CFG
104,98,CFG
92,90,CFG
101,99,CFG
105,104,CFG
8,17,CFG
11,115,DDG
14,115,DDG
16,115,DDG
20,115,DDG
27,115,DDG
67,115,DDG
74,115,DDG
9,14,DDG
8,14,DDG
14,20,DDG
79,109,DDG
96,109,DDG
35,109,DDG
8,109,DDG
114,113,DDG
8,113,DDG
8,114,DDG
9,16,DDG
8,16,DDG
10,27,DDG
8,27,DDG
14,27,DDG
10,28,DDG
8,28,DDG
38,37,DDG
20,37,DDG
39,38,DDG
8,67,DDG
10,67,DDG
14,67,DDG
27,67,DDG
40,39,DDG
20,52,DDG
8,52,DDG
8,61,DDG
10,61,DDG
8,79,DDG
20,40,DDG
8,40,DDG
20,45,DDG
8,45,DDG
8,74,DDG
8,55,DDG
10,55,DDG
8,84,DDG
84,87,DDG
94,87,DDG
8,87,DDG
105,94,DDG
8,94,DDG
79,96,DDG
8,96,DDG
8,48,DDG
10,48,DDG
14,89,DDG
67,89,DDG
8,89,DDG
20,98,DDG
8,104,DDG
89,101,DDG
8,101,DDG
8,105,DDG
87,105,DDG
27,48,CDG
27,113,CDG
27,52,CDG
27,37,CDG
27,46,CDG
27,38,CDG
27,69,CDG
27,45,CDG
27,40,CDG
27,59,CDG
27,35,CDG
27,61,CDG
27,53,CDG
27,110,CDG
27,55,CDG
27,109,CDG
27,39,CDG
67,73,CDG
67,113,CDG
67,84,CDG
67,92,CDG
67,87,CDG
67,90,CDG
67,110,CDG
67,109,CDG
87,94,CDG
87,96,CDG
87,98,CDG
87,99,CDG
87,104,CDG
87,92,CDG
87,87,CDG
87,90,CDG
177,178,AST
177,180,AST
177,179,AST
177,181,AST
178,181,DDG
179,181,DDG
182,183,AST
182,185,AST
182,184,AST
182,186,AST
183,186,DDG
184,186,DDG
187,188,AST
187,189,AST
187,190,AST
188,190,DDG
191,192,AST
191,194,AST
191,193,AST
191,195,AST
192,195,DDG
193,195,DDG
196,197,AST
196,198,AST
196,199,AST
197,199,DDG
200,201,AST
200,203,AST
200,202,AST
200,204,AST
201,204,DDG
202,204,DDG
205,206,AST
205,207,AST
205,208,AST
206,208,DDG
136,137,AST
136,138,AST
142,143,AST
142,145,AST
142,144,AST
142,146,AST
143,146,DDG
144,146,DDG
147,148,AST
147,150,AST
147,149,AST
147,151,AST
148,151,DDG
149,151,DDG
152,153,AST
152,155,AST
152,154,AST
152,156,AST
153,156,DDG
154,156,DDG
157,158,AST
157,160,AST
157,159,AST
157,161,AST
158,161,DDG
159,161,DDG
162,163,AST
162,165,AST
162,164,AST
162,166,AST
163,166,DDG
164,166,DDG
167,168,AST
167,170,AST
167,169,AST
167,171,AST
168,171,DDG
169,171,DDG
172,173,AST
172,175,AST
172,174,AST
172,176,AST
173,176,DDG
174,176,DDG
6,9,AST
6,8,CFG
